art_painting
0,tensor(81.2579)
1,tensor(86.7924)
2,tensor(89.4340)
3,tensor(90.4403)
4,tensor(91.0692)
5,tensor(93.0818)
6,tensor(92.5786)
7,tensor(93.3333)
8,tensor(93.3333)
9,tensor(93.9623)
10,tensor(94.3396)
11,tensor(94.3396)
12,tensor(93.9623)
13,tensor(94.4654)
14,tensor(93.9623)
15,tensor(93.9623)
16,tensor(94.0881)
17,tensor(94.0881)
18,tensor(94.5912)
19,tensor(95.3459)
20,tensor(94.5912)
21,tensor(94.4654)
22,tensor(94.3396)
23,tensor(95.5975)
24,tensor(94.5912)
25,tensor(93.9623)
26,tensor(95.0943)
27,tensor(95.2201)
28,tensor(95.4717)
29,tensor(94.8428)
30,tensor(95.0943)
31,tensor(95.3459)
32,tensor(94.7170)
33,tensor(94.4654)
34,tensor(95.0943)
35,tensor(94.9686)
36,tensor(94.4654)
37,tensor(94.8428)
38,tensor(95.5975)
39,tensor(95.2201)
40,tensor(95.2201)
41,tensor(95.0943)
42,tensor(94.7170)
43,tensor(95.7233)
44,tensor(95.3459)
45,tensor(95.8491)
46,tensor(95.2201)
47,tensor(95.8491)
48,tensor(95.4717)
49,tensor(95.4717)
50,tensor(95.3459)
51,tensor(94.9686)
52,tensor(95.0943)
53,tensor(95.0943)
54,tensor(94.9686)
55,tensor(94.8428)
56,tensor(95.0943)
57,tensor(94.9686)
58,tensor(94.5912)
59,tensor(94.7170)
