cartoon
0,tensor(77.1242)
1,tensor(87.7124)
2,tensor(90.1961)
3,tensor(91.6340)
4,tensor(92.0261)
5,tensor(92.4183)
6,tensor(92.6797)
7,tensor(94.5098)
8,tensor(93.9869)
9,tensor(94.7712)
10,tensor(94.9020)
11,tensor(94.3791)
12,tensor(92.8105)
13,tensor(94.5098)
14,tensor(94.3791)
