photo
photo
0,tensor(75.5102)
1,tensor(85.2341)
2,tensor(87.6351)
3,tensor(88.9556)
4,tensor(90.5162)
5,tensor(90.5162)
6,tensor(91.4766)
7,tensor(91.9568)
8,tensor(92.9172)
9,tensor(93.0372)
10,tensor(93.2773)
11,tensor(93.9976)
12,tensor(94.3577)
13,tensor(94.1176)
14,tensor(93.3974)
15,tensor(93.9976)
16,tensor(93.7575)
17,tensor(93.9976)
18,tensor(94.5978)
19,tensor(94.3577)
20,tensor(94.4778)
21,tensor(94.2377)
22,tensor(94.3577)
23,tensor(94.8379)
24,tensor(94.3577)
25,tensor(94.2377)
26,tensor(94.3577)
27,tensor(94.2377)
28,tensor(94.3577)
29,tensor(94.5978)
30,tensor(95.3181)
31,tensor(94.4778)
32,tensor(94.5978)
33,tensor(94.9580)
34,tensor(95.0780)
35,tensor(95.1981)
36,tensor(94.8379)
37,tensor(94.5978)
38,tensor(94.5978)
39,tensor(94.5978)
40,tensor(95.0780)
41,tensor(95.0780)
42,tensor(94.7179)
43,tensor(95.1981)
44,tensor(95.4382)
45,tensor(95.3181)
46,tensor(95.3181)
47,tensor(95.4382)
48,tensor(95.3181)
49,tensor(95.0780)
50,tensor(95.3181)
51,tensor(95.3181)
52,tensor(95.0780)
53,tensor(95.3181)
54,tensor(95.7983)
55,tensor(95.3181)
56,tensor(95.6783)
57,tensor(95.3181)
58,tensor(95.6783)
59,tensor(95.9184)
